cow,lactation_number_in_data,TIME,avgtotalmotion,avgtotalsteps,avghoursstanding,avghourslying,avglyingbouts,avgrumination,avgactivity,date,calvdate,Activity,rumination,totalmotion,totalsteps,hoursstanding,hourslying,lyingbouts,predictedcalving,CalvingEaseScore,breed,calved,parity,daysprior,hoursbefore,CES,dayhour
1225,1,8,299.9166667,72.33333333,1.518865741,0.481134259,0.666666667,,,18AUG12:00:00:00,21-Aug-12,,,202,54,2,0,0,0,1,H,0,multiparous,-2,-70,1,8
1225,1,10,295.75,72.5,1.554768519,0.445231482,0.583333333,,,18AUG12:00:00:00,21-Aug-12,,,330,80,2,0,0,0,1,H,0,multiparous,-2,-68,1,10
1225,1,12,269.9166667,65.75,1.554768519,0.445231482,0.583333333,,,18AUG12:00:00:00,21-Aug-12,,,164,41,2,0,0,0,1,H,0,multiparous,-2,-66,1,12
1225,1,14,265.3333333,65.33333333,1.554768519,0.445231482,0.583333333,,,18AUG12:00:00:00,21-Aug-12,,,388,105,2,0,0,0,1,H,0,multiparous,-2,-64,1,14
1225,1,16,262.0833333,64.66666667,1.583125,0.416875,0.5,,,18AUG12:00:00:00,21-Aug-12,,,228,54,2,0,0,0,1,H,0,multiparous,-2,-62,1,16
1225,1,18,276.1666667,65.83333333,1.583125,0.416875,0.5,,,18AUG12:00:00:00,21-Aug-12,,,660,144,2,0,0,0,1,H,0,multiparous,-2,-60,1,18
1225,1,20,277.0833333,66.08333333,1.599930556,0.400069444,0.583333333,,,18AUG12:00:00:00,21-Aug-12,,,314,73,1.626111111,0.373888889,2,0,1,H,0,multiparous,-2,-58,1,20
1225,1,22,277.5,65.91666667,1.573518519,0.426481482,0.666666667,,,18AUG12:00:00:00,21-Aug-12,,,303,66,1.5425,0.4575,1,0,1,H,0,multiparous,-2,-56,1,22
1225,1,0,253,58.5,1.564189815,0.435810185,0.666666667,,,19AUG12:00:00:00,21-Aug-12,,,120,24,1.419722222,0.580277778,1,0,1,H,0,multiparous,-2,-54,1,0
1225,1,2,262.9166667,61.91666667,1.626851852,0.373148148,0.583333333,,,19AUG12:00:00:00,21-Aug-12,,,215,53,1.541944444,0.458055556,1,0,1,H,0,multiparous,-2,-52,1,2
1225,1,4,260.25,61.58333333,1.574027778,0.425972222,0.583333333,,,19AUG12:00:00:00,21-Aug-12,,,15,4,0.138055556,1.861944444,1,0,1,H,0,multiparous,-2,-50,1,4
1225,1,6,291.8333333,69.83333333,1.679305556,0.320694444,0.5,,,19AUG12:00:00:00,21-Aug-12,,,563,140,1.883333333,0.116666667,0,0,1,H,0,multiparous,-2,-48,1,6
1225,1,8,292.5833333,69.16666667,1.679305556,0.320694444,0.5,,,19AUG12:00:00:00,21-Aug-12,,,211,46,2,0,0,0,1,H,0,multiparous,-1,-46,1,8
1225,1,10,307.5833333,73.25,1.679305556,0.320694444,0.5,,,19AUG12:00:00:00,21-Aug-12,,,510,129,2,0,0,0,1,H,0,multiparous,-1,-44,1,10
1225,1,12,331.25,79.58333333,1.679305556,0.320694444,0.5,,,19AUG12:00:00:00,21-Aug-12,,,448,117,2,0,0,0,1,H,0,multiparous,-1,-42,1,12
1225,1,14,362.0833333,85.58333333,1.679305556,0.320694444,0.5,,,19AUG12:00:00:00,21-Aug-12,,,758,177,2,0,0,0,1,H,0,multiparous,-1,-40,1,14
1225,1,16,356.6666667,83.91666667,1.573935185,0.426064815,0.583333333,,,19AUG12:00:00:00,21-Aug-12,,,163,34,0.735555556,1.264444444,1,0,1,H,0,multiparous,-1,-38,1,16
